timestamp,amf_session_value,bearers_active_value,fivegs_amffunction_amf_authreject_value,fivegs_amffunction_amf_authreq_value,fivegs_amffunction_mm_confupdate_value,fivegs_amffunction_mm_confupdatesucc_value,fivegs_amffunction_mm_paging5greq_value,fivegs_amffunction_mm_paging5gsucc_value,fivegs_amffunction_rm_regemergreq_value,fivegs_amffunction_rm_regemergsucc_value,fivegs_amffunction_rm_reginitreq_value,fivegs_amffunction_rm_reginitsucc_value,fivegs_amffunction_rm_registeredsubnbr_value,fivegs_amffunction_rm_regmobreq_value,fivegs_amffunction_rm_regmobsucc_value,fivegs_amffunction_rm_regperiodreq_value,fivegs_amffunction_rm_regperiodsucc_value,fivegs_ep_n3_gtp_indatapktn3upf_value,fivegs_ep_n3_gtp_outdatapktn3upf_value,fivegs_pcffunction_pa_policyamassoreq_value,fivegs_pcffunction_pa_policyamassosucc_value,fivegs_pcffunction_pa_policysmassoreq_value,fivegs_pcffunction_pa_policysmassosucc_value,fivegs_pcffunction_pa_sessionnbr_value,fivegs_smffunction_sm_n4sessionestabreq_value,fivegs_smffunction_sm_n4sessionreport_value,fivegs_smffunction_sm_n4sessionreportsucc_value,fivegs_smffunction_sm_pdusessioncreationreq_value,fivegs_smffunction_sm_pdusessioncreationsucc_value,fivegs_smffunction_sm_qos_flow_nbr_value,fivegs_smffunction_sm_sessionnbr_value,fivegs_upffunction_sm_n4sessionestabreq_value,fivegs_upffunction_sm_n4sessionreport_value,fivegs_upffunction_sm_n4sessionreportsucc_value,fivegs_upffunction_upf_qosflows_value,fivegs_upffunction_upf_sessionnbr_value,gn_rx_createpdpcontextreq_value,gn_rx_deletepdpcontextreq_value,gn_rx_parse_failed_value,gnb_value,gtp1_pdpctxs_active_value,gtp2_sessions_active_value,gtp_new_node_failed_value,gtp_peers_active_value,process_cpu_seconds_total_value,process_max_fds_value,process_open_fds_value,process_resident_memory_bytes_value,process_start_time_seconds_value,process_virtual_memory_bytes_value,process_virtual_memory_max_bytes_value,ran_ue_value,s5c_rx_createsession_value,s5c_rx_parse_failed_value
2025-04-09 14:25:00,4.0,4.0,0.0,31.5,78.5,0.0,0.0,0.0,0.0,0.0,31.0,31.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,61.0,61.0,61.0,61.0,8.0,0.0,0.0,0.0,61.0,61.0,61.0,8.0,30.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23125,655744.0,24.375,52526080.0,260263909.7275,1397296128.0,-1.0,0.0,0.0,0.0
2025-04-09 14:25:01,4.0,4.0,0.0,31.5,78.5,0.0,0.0,0.0,0.0,0.0,31.0,31.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,61.0,61.0,61.0,61.0,8.0,0.0,0.0,0.0,61.0,61.0,61.0,8.0,30.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23125,655744.0,24.375,52526080.0,260263909.7275,1397296128.0,-1.0,0.0,0.0,0.0
2025-04-09 14:25:02,4.0,4.0,0.0,31.5,78.5,0.0,0.0,0.0,0.0,0.0,31.0,31.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,61.0,61.0,61.0,61.0,8.0,0.0,0.0,0.0,61.0,61.0,61.0,8.0,30.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23125,655744.0,24.375,52526080.0,260263909.7275,1397296128.0,-1.0,0.0,0.0,0.0
2025-04-09 14:25:03,4.0,4.0,0.0,31.5,78.5,0.0,0.0,0.0,0.0,0.0,31.0,31.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,61.0,61.0,61.0,61.0,8.0,0.0,0.0,0.0,61.0,61.0,61.0,8.0,30.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23125,655744.0,24.375,52526080.0,260263909.7275,1397296128.0,-1.0,0.0,0.0,0.0
2025-04-09 14:25:04,4.0,4.0,0.0,31.5,78.5,0.0,0.0,0.0,0.0,0.0,31.0,31.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,61.0,61.0,61.0,61.0,8.0,0.0,0.0,0.0,61.0,61.0,61.0,8.0,30.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23375,655744.0,24.375,52526080.0,260263909.7275,1397296128.0,-1.0,0.0,0.0,0.0
2025-04-09 14:25:05,4.0,4.0,0.0,31.5,78.5,0.0,0.0,0.0,0.0,0.0,31.0,31.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,61.0,61.0,61.0,61.0,8.0,0.0,0.0,0.0,61.0,61.0,61.0,8.0,30.5,0.0,0.0,7.0,3.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23375,655744.0,24.375,52526080.0,260263909.7275,1397296128.0,-1.0,0.0,0.0,0.0
2025-04-09 14:25:06,4.0,4.0,0.0,35.0,82.0,0.0,0.0,0.0,0.0,0.0,34.5,34.5,4.0,0.5,0.5,49.5,47.0,0.0,0.0,68.0,68.0,68.0,68.0,8.0,0.0,0.0,0.0,68.0,68.0,68.0,8.0,34.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23375,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,3.5,0.0,0.0
2025-04-09 14:25:07,4.0,4.0,0.0,35.0,82.0,0.0,0.0,0.0,0.0,0.0,34.5,34.5,4.0,0.5,0.5,49.5,47.0,0.0,0.0,68.0,68.0,68.0,68.0,8.0,0.0,0.0,0.0,68.0,68.0,68.0,8.0,34.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23375,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,3.5,0.0,0.0
2025-04-09 14:25:08,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23375,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:09,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.235,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:10,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.235,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:11,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.235,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:12,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.235,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:13,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.235,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:14,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23625,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:15,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23625,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:16,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23625,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:17,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23625,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:18,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23625,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:19,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23625,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:20,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2375,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:21,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2375,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:22,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2375,655744.0,24.75,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:23,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2375,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:24,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2375,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:25,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23875,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:26,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23875,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:27,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23875,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:28,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.23875,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:29,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.240000000000002,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:30,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.240000000000002,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:31,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.240000000000002,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:32,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.240000000000002,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:33,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.240000000000002,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:34,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.240000000000002,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:35,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.24125,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:36,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.24125,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:37,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2425,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:38,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2425,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:39,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2425,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:40,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2425,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
2025-04-09 14:25:41,4.0,4.0,0.0,35.5,82.5,0.0,0.0,0.0,0.0,0.0,35.0,35.0,4.0,0.5,0.5,49.5,47.0,0.0,0.0,69.0,69.0,69.0,69.0,8.0,0.0,0.0,0.0,69.0,69.0,69.0,8.0,34.5,0.0,0.0,8.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,24.2425,655744.0,24.625,52606976.0,260263909.7275,1397296128.0,-1.0,4.0,0.0,0.0
